Iteracao 100 | 64.45% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.8,0.7501,1.6028,1.0282,10.5091,100.0
Iteracao 200 | 65.12% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.8,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 300 | 65.12% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.8,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 400 | 65.20% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 500 | 65.20% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 600 | 65.20% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 700 | 65.20% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 800 | 65.20% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 900 | 65.20% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4922,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1000 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1100 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1200 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1300 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1400 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1500 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1600 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1700 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 1800 | 65.62% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 100 | 64.24% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7501,1.6028,1.0282,11.2814,100.0
Iteracao 200 | 64.33% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6028,1.0282,11.2814,100.0
Iteracao 300 | 64.48% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6028,1.0282,11.2814,102.1936
Iteracao 400 | 64.48% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6028,1.0282,11.2814,102.1936
Iteracao 500 | 64.61% Vitorias - 0.6996,0.3016,0.4945,0.4912,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 600 | 64.83% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 700 | 64.83% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 800 | 64.83% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 900 | 64.83% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.0873,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1000 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1100 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1200 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1300 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1400 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1500 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1600 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1700 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1800 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 1900 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2000 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2100 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2200 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2300 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2400 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2500 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2600 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2700 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2800 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 2900 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 3000 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 3100 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 3200 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 3300 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 3400 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 3500 | 65.11% Vitorias - 0.6996,0.3016,0.4945,0.4948,0.25,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 100 | 31.23% Vitorias - 0.6996,0.3016,0.4872,0.4948,0.2459,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936
Iteracao 100 | 53.40% Vitorias - 0.6996,0.3016,0.4872,0.4948,0.2459,0.4878,1.078,1.1179,1.15,0.9,0.1,1.55,0.79,0.7452,1.6293,1.0282,11.2814,102.1936,104.0
